name,gender,wikipedia_url,birthdate,image_urls
Alvin Anson,male,https://en.wikipedia.org/wiki/Alvin%20Anson,1962-10-20,['https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/AlvinAnson.jpg/250px-AlvinAnson.jpg']
Alwyn Uytingco,male,https://en.wikipedia.org/wiki/Alwyn%20Uytingco,1988-02-11,[]
Alyssa Alano,female,https://en.wikipedia.org/wiki/Alyssa%20Alano,1987-08-11,[]
Ama Quiambao,female,https://en.wikipedia.org/wiki/Ama%20Quiambao,1947-01-19,[]
Amado Cortez,male,https://en.wikipedia.org/wiki/Amado%20Cortez,1927-12-14,['https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Amado_Cortez_Gloria_Sevilla_grave5.jpg/250px-Amado_Cortez_Gloria_Sevilla_grave5.jpg']
Amalia Fuentes,female,https://en.wikipedia.org/wiki/Amalia%20Fuentes,1940-08-27,"['https://upload.wikimedia.org/wikipedia/en/thumb/f/fa/Amalia-fuentes.jpg/250px-Amalia-fuentes.jpg', 'https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Amalia_Fuentes_family_grave5.jpg/250px-Amalia_Fuentes_family_grave5.jpg', 'https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Amalia_Fuentes_family_grave2.jpg/250px-Amalia_Fuentes_family_grave2.jpg', 'https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Amalia_Fuentes_family_grave3.jpg/250px-Amalia_Fuentes_family_grave3.jpg', 'https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Amalia_Fuentes_family_grave4.jpg/250px-Amalia_Fuentes_family_grave4.jpg', 'https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Amalia_Fuentes_family_grave5.jpg/250px-Amalia_Fuentes_family_grave5.jpg', 'https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Amalia_Fuentes_family_grave6.jpg/250px-Amalia_Fuentes_family_grave6.jpg', 'https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Amalia_Fuentes_family_grave7.jpg/250px-Amalia_Fuentes_family_grave7.jpg']"
Ambet Nabus,male,https://en.wikipedia.org/wiki/Ambet%20Nabus,1967-02-12,[]
Amy Austria,female,https://en.wikipedia.org/wiki/Amy%20Austria,1961-12-13,['https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Amy_Austria_at_the_Sine_Sandaan_2019.jpg/250px-Amy_Austria_at_the_Sine_Sandaan_2019.jpg']
Amy Perez,female,https://en.wikipedia.org/wiki/Amy%20Perez,1969-09-05,['https://upload.wikimedia.org/wikipedia/commons/e/ee/Amy_Perez_Paynauen_2015.jpg']
Ana Capri,female,https://en.wikipedia.org/wiki/Ana%20Capri,1979-04-24,[]
Ana Roces,female,https://en.wikipedia.org/wiki/Ana%20Roces,1976-02-02,[]
Analyn Barro,female,https://en.wikipedia.org/wiki/Analyn%20Barro,1996-08-15,[]
Andi Abaya,female,https://en.wikipedia.org/wiki/Andi%20Abaya,2002-01-08,[]
Andi Eigenmann,female,https://en.wikipedia.org/wiki/Andi%20Eigenmann,1990-06-25,[]
Andi Manzano,female,https://en.wikipedia.org/wiki/Andi%20Manzano,1987-03-29,['https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/Crystal_Clear_app_Login_Manager_2.png/40px-Crystal_Clear_app_Login_Manager_2.png']
Andoy Balunbalunan,male,https://en.wikipedia.org/wiki/Andoy%20Balunbalunan,,[]
Andre Garcia (actor),male,https://en.wikipedia.org/wiki/Andre%20Garcia%20%28actor%29,1999-10-23,[]
Andre Paras,male,https://en.wikipedia.org/wiki/Andre%20Paras,1995-11-01,['https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Andre_Paras_2022.png/250px-Andre_Paras_2022.png']
Andrea Brillantes,female,https://en.wikipedia.org/wiki/Andrea%20Brillantes,2003-03-12,['https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Andrea_Brillantes_2022.jpg/250px-Andrea_Brillantes_2022.jpg']
Andrea Del Rosario,female,https://en.wikipedia.org/wiki/Andrea%20Del%20Rosario,1977-11-27,[]
Andrea Torres,female,https://en.wikipedia.org/wiki/Andrea%20Torres,1990-05-04,[]
Andrei Felix,male,https://en.wikipedia.org/wiki/Andrei%20Felix,1983-05-22,[]
Andres Centenera,male,https://en.wikipedia.org/wiki/Andres%20Centenera,,[]
Andres Muhlach,male,https://en.wikipedia.org/wiki/Andres%20Muhlach,2001-11-05,[]
Andrew E.,male,https://en.wikipedia.org/wiki/Andrew%20E.,1967-07-30,['https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Andrew_E._at_the_2024_Bagong_Pilipinas_Serbisyo_Fair_cropped.jpg/250px-Andrew_E._at_the_2024_Bagong_Pilipinas_Serbisyo_Fair_cropped.jpg']
Andy Poe,male,https://en.wikipedia.org/wiki/Andy%20Poe,1943-05-04,['https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Familia_Fernando_Poe_Jr._Mausoleum_tombs_CNE_12.jpg/250px-Familia_Fernando_Poe_Jr._Mausoleum_tombs_CNE_12.jpg']
Angel Aquino,female,https://en.wikipedia.org/wiki/Angel%20Aquino,1973-02-07,"['https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Angel_Aquino_%28cropped%29.jpg/250px-Angel_Aquino_%28cropped%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Angel_Aquino_The_Vagina_Monologues_Public_Reading.jpg/250px-Angel_Aquino_The_Vagina_Monologues_Public_Reading.jpg', 'https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Angel_Aquino_in_2008.jpg/250px-Angel_Aquino_in_2008.jpg', 'https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Angel_Aquino_-_Short_Film_Astray_%28cropped%29.jpg/250px-Angel_Aquino_-_Short_Film_Astray_%28cropped%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Angel_Aquino_and_Queen_Hera_at_the_Senate_Committee_on_Women%2C_Children%2C_Family_Relations%2C_and_Gender_Equality_hearing_on_AI_Deepfake_Pornography_%2801%29.jpg/250px-Angel_Aquino_and_Queen_Hera_at_the_Senate_Committee_on_Women%2C_Children%2C_Family_Relations%2C_and_Gender_Equality_hearing_on_AI_Deepfake_Pornography_%2801%29.jpg']"
Angel Guardian,female,https://en.wikipedia.org/wiki/Angel%20Guardian,1998-09-06,[]
Angel Locsin,female,https://en.wikipedia.org/wiki/Angel%20Locsin,1985-04-23,"['https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Angel_Locsin_at_the_premiere_of_Love_Me_Again_in_LA%2C_December_2008.jpg/250px-Angel_Locsin_at_the_premiere_of_Love_Me_Again_in_LA%2C_December_2008.jpg', 'https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Angel_Locsin.jpg/250px-Angel_Locsin.jpg', 'https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Angel_and_Maja_in_Toronto_2014_%28cropped%29.jpg/250px-Angel_and_Maja_in_Toronto_2014_%28cropped%29.jpg']"
Angel Satsumi,female,https://en.wikipedia.org/wiki/Angel%20Satsumi,2010-03-28,"['https://upload.wikimedia.org/wikipedia/en/thumb/b/be/Pepito_Manaloto_title_card.jpg/250px-Pepito_Manaloto_title_card.jpg', 'https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Bitoy_in_eatbulaga.jpg/250px-Bitoy_in_eatbulaga.jpg', 'https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Nova_Villa_2023_%28cropped%29.jpg/250px-Nova_Villa_2023_%28cropped%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Pokwang_7-21-2014_%28cropped%29.jpg/120px-Pokwang_7-21-2014_%28cropped%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Gladys_Reyes_at_the_25th_PMPC_Star_Awards.jpg/250px-Gladys_Reyes_at_the_25th_PMPC_Star_Awards.jpg']"
Angeli Bayani,female,https://en.wikipedia.org/wiki/Angeli%20Bayani,1977-11-13,[]
Angeli Gonzales,female,https://en.wikipedia.org/wiki/Angeli%20Gonzales,1994-03-09,[]
Angeli Khang,female,https://en.wikipedia.org/wiki/Angeli%20Khang,2001-08-03,[]
Angeli Nicole Sanoy,female,https://en.wikipedia.org/wiki/Angeli%20Nicole%20Sanoy,2000-02-15,"['https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Mallari_MMFF_float_cast.jpg/250px-Mallari_MMFF_float_cast.jpg', 'https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/Crystal_Clear_app_Login_Manager_2.png/40px-Crystal_Clear_app_Login_Manager_2.png']"
Angelica Jones,female,https://en.wikipedia.org/wiki/Angelica%20Jones,1983-01-20,[]
Angelica Panganiban,female,https://en.wikipedia.org/wiki/Angelica%20Panganiban,1986-11-04,['https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Angelica_Panganiban_%282012%29.jpg/250px-Angelica_Panganiban_%282012%29.jpg']
Angelika Dela Cruz,female,https://en.wikipedia.org/wiki/Angelika%20Dela%20Cruz,1981-10-29,[]
Angeline Quinto,female,https://en.wikipedia.org/wiki/Angeline%20Quinto,1989-11-26,"['https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Angeline_Quinto_2023_%28cropped%29.jpg/250px-Angeline_Quinto_2023_%28cropped%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Angeline_Quinto_at_Barrio_Fiesta_in_UK_in_April_2014_%28cropped%29.jpg/250px-Angeline_Quinto_at_Barrio_Fiesta_in_UK_in_April_2014_%28cropped%29.jpg']"
Angelo Castro Jr.,male,https://en.wikipedia.org/wiki/Angelo%20Castro%20Jr.,1945-03-06,['https://upload.wikimedia.org/wikipedia/en/thumb/f/fc/AngeloCastroJr_fairuse.jpg/250px-AngeloCastroJr_fairuse.jpg']
Angelu de Leon,female,https://en.wikipedia.org/wiki/Angelu%20de%20Leon,1979-08-22,['https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Angelu_de_Leon%2C_Official_Portrait_2025_%28cropped%29.jpg/250px-Angelu_de_Leon%2C_Official_Portrait_2025_%28cropped%29.jpg']
Angie Ferro,female,https://en.wikipedia.org/wiki/Angie%20Ferro,1937-08-04,['https://upload.wikimedia.org/wikipedia/en/thumb/0/0c/Angie-ferro_resize.jpg/250px-Angie-ferro_resize.jpg']
Anita Linda,female,https://en.wikipedia.org/wiki/Anita%20Linda,1924-11-23,['https://upload.wikimedia.org/wikipedia/en/c/c4/Anita-linda.jpg']
Anja Aguilar,female,https://en.wikipedia.org/wiki/Anja%20Aguilar,1994-07-22,[]
Anji Salvacion,female,https://en.wikipedia.org/wiki/Anji%20Salvacion,2002-09-24,[]
Anjo Damiles,male,https://en.wikipedia.org/wiki/Anjo%20Damiles,1996-05-10,[]
Anjo Yllana,male,https://en.wikipedia.org/wiki/Anjo%20Yllana,1968-04-24,[]
Ann Li (businesswoman),female,https://en.wikipedia.org/wiki/Ann%20Li%20%28businesswoman%29,1995-01-17,[]
Anna Fegi,female,https://en.wikipedia.org/wiki/Anna%20Fegi,1977-04-18,"['https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Anna_Fegi_Headshot.jpg/330px-Anna_Fegi_Headshot.jpg', 'https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Anna_Fegi_with_MPO.jpg/250px-Anna_Fegi_with_MPO.jpg', 'https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Anna_Quest.jpg/250px-Anna_Quest.jpg', 'https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Anna_Fegi_TV_Interview.jpg/250px-Anna_Fegi_TV_Interview.jpg', 'https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Patti_Austin_Anna_Fegi.jpg/330px-Patti_Austin_Anna_Fegi.jpg']"
Anna Larrucea,female,https://en.wikipedia.org/wiki/Anna%20Larrucea,1984-10-07,[]
Anna Luna (actress),female,https://en.wikipedia.org/wiki/Anna%20Luna%20%28actress%29,1993-09-12,[]
Anna Marie Gutierrez,female,https://en.wikipedia.org/wiki/Anna%20Marie%20Gutierrez,,[]
Annabelle Huggins,female,https://en.wikipedia.org/wiki/Annabelle%20Huggins,,[]
Annabelle Rama,female,https://en.wikipedia.org/wiki/Annabelle%20Rama,1952-10-31,[]
Anne Curtis,female,https://en.wikipedia.org/wiki/Anne%20Curtis,1985-02-17,['https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Anne_Curtis_%282009%29.jpg/250px-Anne_Curtis_%282009%29.jpg']
Anthony Alonzo,male,https://en.wikipedia.org/wiki/Anthony%20Alonzo,1948-04-02,[]
Anthony Constantino (model),male,https://en.wikipedia.org/wiki/Anthony%20Constantino%20%28model%29,2002-05-30,['https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Anthony_Constantino_in_August_2025.png/250px-Anthony_Constantino_in_August_2025.png']
Anthony Rosaldo,male,https://en.wikipedia.org/wiki/Anthony%20Rosaldo,1994-02-01,['https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Anthony_Rosaldo_04.jpg/250px-Anthony_Rosaldo_04.jpg']
Antoinette Taus,female,https://en.wikipedia.org/wiki/Antoinette%20Taus,1981-08-30,"['https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Antoinette_Taus_BoxSing_Challenge.jpg/250px-Antoinette_Taus_BoxSing_Challenge.jpg', 'https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Antoinette_Taus_BoxSing_Challenge_2.jpg/250px-Antoinette_Taus_BoxSing_Challenge_2.jpg']"
Antonio Aquitania,male,https://en.wikipedia.org/wiki/Antonio%20Aquitania,1977-01-16,[]
Apeng Daldal,male,https://en.wikipedia.org/wiki/Apeng%20Daldal,1928-10-12,['https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Charlie_Chaplin.jpg/20px-Charlie_Chaplin.jpg']
April Boy Regino,male,https://en.wikipedia.org/wiki/April%20Boy%20Regino,1961-04-09,['https://upload.wikimedia.org/wikipedia/en/thumb/4/4b/April_Boy_Regino.jpg/250px-April_Boy_Regino.jpg']
Ar Angel Aviles,female,https://en.wikipedia.org/wiki/Ar%20Angel%20Aviles,2003-10-13,[]
Ara Mina,female,https://en.wikipedia.org/wiki/Ara%20Mina,1979-05-09,['https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Ara_Mina_%28cropped%29.jpg/250px-Ara_Mina_%28cropped%29.jpg']
Archie Alemania,male,https://en.wikipedia.org/wiki/Archie%20Alemania,1978-03-06,[]
Arci Muñoz,female,https://en.wikipedia.org/wiki/Arci%20Mu%C3%B1oz,1989-01-12,[]
Aria Clemente,female,https://en.wikipedia.org/wiki/Aria%20Clemente,1995-08-29,[]
Arianne Bautista,female,https://en.wikipedia.org/wiki/Arianne%20Bautista,1993-09-01,[]
Ariel Rivera,male,https://en.wikipedia.org/wiki/Ariel%20Rivera,1966-09-01,['https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Ariel_Rivera_2023.jpg/250px-Ariel_Rivera_2023.jpg']
Ariel Ureta,male,https://en.wikipedia.org/wiki/Ariel%20Ureta,1946-11-05,['https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Ariel_Ureta.jpg/250px-Ariel_Ureta.jpg']
Ariella Arida,female,https://en.wikipedia.org/wiki/Ariella%20Arida,1988-11-20,"['https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Ariella_Arida_%282025%29.jpg/250px-Ariella_Arida_%282025%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Ariella_Arida_and_Mutya_Johanna_Datul_at_NLEX_Harbor_Link_groundbreaking_ceremony.jpg/250px-Ariella_Arida_and_Mutya_Johanna_Datul_at_NLEX_Harbor_Link_groundbreaking_ceremony.jpg']"
Aring Bautista,female,https://en.wikipedia.org/wiki/Aring%20Bautista,,[]
Arjo Atayde,male,https://en.wikipedia.org/wiki/Arjo%20Atayde,1990-11-05,"['https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Rep._Juan_Carlos_Atayde_%2820th_Congress%29.jpg/250px-Rep._Juan_Carlos_Atayde_%2820th_Congress%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Banaue_Quezon_City_Chinese_New_Year.jpg/250px-Banaue_Quezon_City_Chinese_New_Year.jpg']"
Armando Goyena,male,https://en.wikipedia.org/wiki/Armando%20Goyena,1922-12-07,[]
Armida Siguion-Reyna,female,https://en.wikipedia.org/wiki/Armida%20Siguion-Reyna,1930-11-04,['https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Armida_Siguion-Reyna_National_Artist_award_protest_at_CCP.jpg/250px-Armida_Siguion-Reyna_National_Artist_award_protest_at_CCP.jpg']
Arnell Ignacio,male,https://en.wikipedia.org/wiki/Arnell%20Ignacio,1964-03-17,"['https://upload.wikimedia.org/wikipedia/commons/5/5c/Arnell_Ignacio_RTVM_2019_-_cropped.jpg', 'https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/PBBM_in_Ranara_wake_2023.jpg/250px-PBBM_in_Ranara_wake_2023.jpg']"
Arno Morales,male,https://en.wikipedia.org/wiki/Arno%20Morales,1993-06-18,[]
Arny Ross,female,https://en.wikipedia.org/wiki/Arny%20Ross,1991-07-19,[]
Arra San Agustin,female,https://en.wikipedia.org/wiki/Arra%20San%20Agustin,1995-04-25,[]
Arron Villaflor,male,https://en.wikipedia.org/wiki/Arron%20Villaflor,1990-07-05,['https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Penduko_MMFF_float_cast.jpg/250px-Penduko_MMFF_float_cast.jpg']
Arsenio Bautista,male,https://en.wikipedia.org/wiki/Arsenio%20Bautista,1934-05-20,['https://upload.wikimedia.org/wikipedia/en/e/e2/Herminio_Bautista_Passed_away.jpg']
Arthur Solinap,male,https://en.wikipedia.org/wiki/Arthur%20Solinap,1980-01-19,[]
Aruray,female,https://en.wikipedia.org/wiki/Aruray,1922-07-18,[]
Ashley Ortega,female,https://en.wikipedia.org/wiki/Ashley%20Ortega,1998-12-26,['https://upload.wikimedia.org/wikipedia/commons/f/fe/Ashley_Ortega_in_2023.png']
