,0
598,Niña Dolino
599,Niña Jose
600,Nora Aunor
601,Nori Dalisay
602,Nova Villa
603,Olivia Cenizal
604,Pacita del Rio
605,Pamu Pamorada
606,Paraluman
607,Patricia Fernandez (actress)
608,Patricia Javier
609,Patricia Tumulak
610,Paula Peralejo
611,Pauleen Luna
612,Pauline Mendoza
613,Paw Diaz
614,Perla Bautista
615,Phoemela Barranda
616,Pia Guanio
617,Pia Moran
618,Pia Wurtzbach
619,Pilar Pilapil
620,Pilita Corrales
621,Pinky Amador
622,Pokwang
623,Pops Fernandez
624,Precious Lara Quigaman
625,Princess Guevarra
626,Princess Punzalan
627,Princess Ryan
628,Princess Schuck
629,Queenierich Rehman
630,RR Enriquez
631,Rabiya Mateo
632,Rachel Alejandro
633,Rachel Peters
634,Rachelle Ann Go
635,Radha Cuadrado
636,Rans Rifol
637,Raquel Monteza
638,Raven Villanueva
639,Rebecca Lusterio
640,Rebecca del Rio
641,Regine Angeles
642,Regine Tolentino
643,Regine Velasquez
644,Rhian Ramos
645,Ria Atayde
646,Rica Peralejo
647,Rich Asuncion
648,Rio Diaz
649,Rio Locsin
650,Rita Avila
651,Rita Daniela
652,Rita Gomez
653,Ritz Azul
654,Riza Santos
655,Rochelle Pangilinan
656,Rosa Aguirre
657,Rosa Mia
658,Rosa Rosal
659,Rosa del Rosario
660,Rosanna Roces
661,Rose Ann Gonzales
662,Roselle Nava
663,Rosemarie Gil
664,Rosemarie Sonora
665,Rox Montealegre
666,Roxanne Barcelo
667,Roxanne Guinoo
668,Roxie Smith
669,Rubi Rubi
670,Ruby Moreno
671,Ruby Rodriguez
672,Rufa Mae Quinto
673,Rufa Mi
674,Ruffa Gutierrez
675,Rustica Carpio
676,Ryza Cenon
677,Ryzza Mae Dizon
678,Saab Magalona
679,Sabrina Man
680,Sam Bumatay
681,Sam Pinto
682,Sandara Park
683,Sandy Andolong
684,Sandy Talag
685,Sanya Lopez
686,Sarah Christophers
687,Sarah Geronimo
688,Sarah Jane Abad
689,Sarah Lahbati
690,Sarita Pérez de Tagle
691,Say Alonzo
692,Scarlet Garcia (model)
693,Sela Guia
694,Serena Dalrymple
695,Shaina Magdayao
696,Shaira Diaz
697,Shamaine Buencamino
698,Shamcey Supsup
699,Shanaia Gomez
700,Sharlene San Pedro
701,Sharmaine Arnaiz
702,Sharon Cuneta
703,Sheena (singer)
704,Sheena Belarmino
705,Sheena Halili
706,Sheree Bautista
707,Sherilyn Reyes-Tan
708,Shermaine Santiago
709,Sheryl Cruz
710,Sheryn Regis
711,Shey Bustamante
712,Shuvee Etrata
713,Shy Carlos
714,Snooky Serna
715,Sofia Andres
716,Sofia Moran
717,Sofia Pablo (actress)
718,Sofie Garrucho
719,Solenn Heussaff
720,Sophia Montecarlo
721,Sophia Reola
722,Sophie Albert
723,Stef Prescott
724,Stella Ruiz White
725,Stephanie Sol
726,Sue Prado
727,Sue Ramirez
728,Sugar Mercado
729,Sunshine Cruz
730,Sunshine Dizon
731,Susan Africa
732,Susan Roces
733,Suzette Ranillo
734,Sylvia La Torre
735,Sylvia Sanchez
736,Taki Saito
737,Tanya Garcia
738,Tessie Agana
739,Tessie Tomas
740,Tetchie Agbayani
741,The EDDYS
742,Thea Astley (singer)
743,Thea Tolentino
744,Therese Malvar
745,Thia Thomalla
746,Timmy Cruz
747,Tin Patrimonio
748,Tippy Dos Santos
749,Tita Duran
750,Tita Muñoz
751,Tita de Villa
752,Tiya Pusit
753,Toni Fowler
754,Toni Gonzaga
755,Toni Rose Gayda
756,Tootsie Guevara
757,Tricia Santos
758,Tuesday Vargas
759,Valeen Montenegro
760,Valerie Concepcion
761,Valerie Weigmann
762,Vaness del Moral
763,Vangie Labalan
764,Venus Raj
765,Vicki Belo
766,Vickie Rushton
767,Vilma Santos
768,Vina Morales
769,Vivian Velez
770,Vivoree Esclito
771,Wendy Valdez
772,Whitney Tyson
773,Winnie Cordero
774,Winwyn Marquez
775,Xia Vigor
776,Xyriel Manabat
777,Yam Concepcion
778,Yasmien Kurdi
779,Yassi Pressman
780,Yayo Aguila
781,Yen Santos
782,Yeng Constantino
783,Ylona Garcia
784,Ynna Asistio
785,Ysabel Ortega
786,Zandra Summer
787,Zeny Zabala
788,Zephanie Dimaranan
789,Zeryl Lim
790,Zia Marquez
791,Zia Quizon
792,Zorayda Sanchez
793,Zsa Zsa Padilla
794,África de la Rosa
